|||Sütunlar|
Satırlar|||Tüketici Madde Fiyatları (2003=100)|
|||Türkiye-TR|
||||
|10-Ekim|0122101. (Su)|0.3634|
||0451001. (Elektrik Ücreti)|0.357|
||0452101. (Doğal Gaz)|1.0546|
||0830009. (İnternet Ücreti)|37.8329|
|11-Kasım|0122101. (Su)|0.3657|
||0451001. (Elektrik Ücreti)|0.357|
||0452101. (Doğal Gaz)|1.0555|
||0830009. (İnternet Ücreti)|37.8329|
|12-Aralık|0122101. (Su)|0.3667|
||0451001. (Elektrik Ücreti)|0.357|
||0452101. (Doğal Gaz)|1.0557|
||0830009. (İnternet Ücreti)|40.1971|
2013|01-Ocak|0122101. (Su)|0.3839|
||0451001. (Elektrik Ücreti)|0.357|
||0452101. (Doğal Gaz)|1.0574|
||0830009. (İnternet Ücreti)|58.5834|
|02-Şubat|0122101. (Su)|0.3865|
||0451001. (Elektrik Ücreti)|0.357|
||0452101. (Doğal Gaz)|1.0573|
||0830009. (İnternet Ücreti)|58.5834|
|03-Mart|0122101. (Su)|0.3915|
||0451001. (Elektrik Ücreti)|0.357|
||0452101. (Doğal Gaz)|1.0578|
||0830009. (İnternet Ücreti)|58.5834|
|04-Nisan|0122101. (Su)|0.3942|
||0451001. (Elektrik Ücreti)|0.3587|
||0452101. (Doğal Gaz)|1.0585|
||0830009. (İnternet Ücreti)|58.5834|
|05-Mayıs|0122101. (Su)|0.3956|
||0451001. (Elektrik Ücreti)|0.3588|
||0452101. (Doğal Gaz)|1.0592|
||0830009. (İnternet Ücreti)|58.5834|
|06-Haziran|0122101. (Su)|0.3977|
||0451001. (Elektrik Ücreti)|0.3587|
||0452101. (Doğal Gaz)|1.0601|
||0830009. (İnternet Ücreti)|58.5834|
|07-Temmuz|0122101. (Su)|0.3977|
||0451001. (Elektrik Ücreti)|0.3585|
||0452101. (Doğal Gaz)|1.062|
||0830009. (İnternet Ücreti)|58.5834|
|08-Ağustos|0122101. (Su)|0.3988|
||0451001. (Elektrik Ücreti)|0.3585|
||0452101. (Doğal Gaz)|1.0661|
||0830009. (İnternet Ücreti)|58.5834|
|09-Eylül|0122101. (Su)|0.3976|
